epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6539.4,1.07873,1.45036,1.5128,0.68226,0.64973,0.6183,0.4625,1.07118,1.41272,1.62886,0.007228,0.007228,0.007228
44,7193.38,1.07387,1.43993,1.5033,0.68406,0.6551,0.6212,0.46466,1.05659,1.40995,1.60011,0.007162,0.007162,0.007162
45,7892.12,1.07936,1.44362,1.50937,0.69254,0.64574,0.62055,0.463,1.05247,1.40166,1.5928,0.007096,0.007096,0.007096
46,8431.05,1.07221,1.42037,1.49792,0.67791,0.65791,0.61952,0.46244,1.05391,1.39893,1.60221,0.00703,0.00703,0.00703
47,9057.59,1.06326,1.40409,1.49363,0.67387,0.65128,0.61621,0.46191,1.04951,1.40658,1.60084,0.006964,0.006964,0.006964
48,9661.53,1.06332,1.40802,1.49369,0.68411,0.654,0.62041,0.46537,1.04966,1.39939,1.60311,0.006898,0.006898,0.006898
49,10358.2,1.05893,1.4053,1.49259,0.67516,0.65234,0.61686,0.46631,1.04156,1.40004,1.59841,0.006832,0.006832,0.006832
50,10923.8,1.05665,1.39451,1.49154,0.68198,0.65207,0.61553,0.46467,1.04137,1.39291,1.60218,0.006766,0.006766,0.006766
51,11655,1.06343,1.39484,1.49261,0.67183,0.66082,0.61772,0.46682,1.03821,1.39461,1.60087,0.0067,0.0067,0.0067
52,12243.4,1.054,1.38062,1.48791,0.6817,0.65492,0.61716,0.46606,1.04012,1.40615,1.60182,0.006634,0.006634,0.006634
53,12832.4,1.048,1.38357,1.4824,0.68152,0.6609,0.61967,0.46604,1.03791,1.39553,1.5963,0.006568,0.006568,0.006568
54,13405,1.04808,1.36483,1.47669,0.67944,0.6601,0.61776,0.46615,1.03618,1.39708,1.59362,0.006502,0.006502,0.006502
55,13996.2,1.05089,1.37456,1.48266,0.67302,0.66436,0.61645,0.46551,1.03586,1.3993,1.59323,0.006436,0.006436,0.006436
56,14577.6,1.04413,1.36731,1.48285,0.6703,0.66755,0.61872,0.46531,1.0369,1.40824,1.59318,0.00637,0.00637,0.00637
57,15191.5,1.04056,1.35382,1.47726,0.67491,0.66299,0.61897,0.46549,1.03855,1.41546,1.59573,0.006304,0.006304,0.006304
58,15780.9,1.03416,1.3383,1.46899,0.67423,0.66303,0.61717,0.46514,1.03724,1.42287,1.59558,0.006238,0.006238,0.006238
59,16344.4,1.03353,1.34755,1.47121,0.67106,0.66171,0.61728,0.46568,1.03325,1.4233,1.59283,0.006172,0.006172,0.006172
60,16941.2,1.04124,1.33962,1.47209,0.67856,0.6616,0.6198,0.46809,1.03141,1.41776,1.58968,0.006106,0.006106,0.006106
61,17562,1.03128,1.32794,1.46268,0.6781,0.66293,0.62283,0.46962,1.0321,1.4146,1.58992,0.00604,0.00604,0.00604
62,18147.3,1.03365,1.32809,1.46651,0.69145,0.65452,0.62347,0.4711,1.03161,1.40881,1.5896,0.005974,0.005974,0.005974
63,18823.9,1.02592,1.32251,1.45986,0.69053,0.65624,0.62448,0.47171,1.0335,1.40603,1.59195,0.005908,0.005908,0.005908
64,19379.4,1.02315,1.30623,1.45748,0.69292,0.65765,0.62558,0.47227,1.03152,1.40341,1.59014,0.005842,0.005842,0.005842
65,19936,1.02587,1.30698,1.45977,0.69291,0.65998,0.62655,0.47279,1.02891,1.40295,1.58955,0.005776,0.005776,0.005776
66,20564,1.02023,1.30642,1.45468,0.69979,0.65641,0.62702,0.47369,1.02743,1.40561,1.58959,0.00571,0.00571,0.00571
67,21171.2,1.01711,1.30871,1.45541,0.6982,0.65603,0.62667,0.47385,1.02563,1.40475,1.58819,0.005644,0.005644,0.005644
68,21799.6,1.02228,1.30727,1.45805,0.69787,0.65812,0.62745,0.47413,1.0262,1.40598,1.58933,0.005578,0.005578,0.005578
69,22446.9,1.01352,1.30246,1.45261,0.69718,0.65371,0.62737,0.47449,1.02765,1.40631,1.59086,0.005512,0.005512,0.005512
70,23061.9,1.00864,1.28528,1.44781,0.69651,0.65518,0.62787,0.47437,1.02714,1.40707,1.59145,0.005446,0.005446,0.005446
